StartTime,RequestType,Latency,ResponseCode
2020-10-07 16:08:06.726,POST,-61,200
2020-10-07 16:08:06.788,POST,-28,200
2020-10-07 16:08:06.816,POST,-116,200
2020-10-07 16:08:06.932,POST,-72,200
2020-10-07 16:08:07.004,POST,-656,200
2020-10-07 16:08:07.666,POST,-518,200
2020-10-07 16:08:08.184,POST,-5,200
2020-10-07 16:08:08.189,POST,-6,200
2020-10-07 16:08:08.195,POST,-128,200
2020-10-07 16:08:08.323,POST,-105,200
2020-10-07 16:08:08.428,POST,-12,200
2020-10-07 16:08:08.44,POST,-186,200
2020-10-07 16:08:08.626,POST,-28,200
2020-10-07 16:08:08.654,POST,-3,200
2020-10-07 16:08:08.657,POST,-2,200
2020-10-07 16:08:08.659,POST,-2,200
2020-10-07 16:08:08.661,POST,-3,200
2020-10-07 16:08:08.664,POST,-169,200
2020-10-07 16:08:08.833,POST,-233,200
2020-10-07 16:08:09.066,POST,-234,200
2020-10-07 16:08:09.3,POST,-57,200
2020-10-07 16:08:09.357,POST,-84,200
2020-10-07 16:08:09.441,POST,-58,200
2020-10-07 16:08:09.499,POST,-31,200
2020-10-07 16:08:09.53,POST,-25,200
2020-10-07 16:08:09.555,POST,-24,200
2020-10-07 16:08:09.579,POST,-39,200
2020-10-07 16:08:09.618,POST,-23,200
2020-10-07 16:08:09.641,POST,-21,200
2020-10-07 16:08:09.662,POST,-19,200
2020-10-07 16:08:09.681,POST,-21,200
2020-10-07 16:08:09.702,POST,-42,200
2020-10-07 16:08:09.744,POST,-33,200
2020-10-07 16:08:09.777,POST,-29,200
2020-10-07 16:08:09.806,POST,-21,200
2020-10-07 16:08:09.827,POST,-101,200
2020-10-07 16:08:09.928,POST,-19,200
2020-10-07 16:08:09.947,POST,-20,200
2020-10-07 16:08:09.967,POST,-21,200
2020-10-07 16:08:09.988,POST,-23,200
2020-10-07 16:08:10.011,POST,-20,200
2020-10-07 16:08:10.031,POST,-32,200
2020-10-07 16:08:10.063,POST,-20,200
2020-10-07 16:08:10.084,POST,-32,200
2020-10-07 16:08:10.116,POST,-3,200
2020-10-07 16:08:10.119,POST,-2,200
2020-10-07 16:08:10.121,POST,-2,200
2020-10-07 16:08:10.123,POST,-34,200
2020-10-07 16:08:10.157,POST,-3,200
2020-10-07 16:08:10.16,POST,-3,200
2020-10-07 16:08:10.163,POST,-40,200
2020-10-07 16:08:10.203,POST,-7,200
2020-10-07 16:08:10.21,POST,-11,200
2020-10-07 16:08:10.221,POST,-31,200
2020-10-07 16:08:10.252,POST,-21,200
2020-10-07 16:08:10.273,POST,-15,200
2020-10-07 16:08:10.288,POST,-6,200
2020-10-07 16:08:10.294,POST,-12,200
2020-10-07 16:08:10.306,POST,-4,200
2020-10-07 16:08:10.312,POST,-11,200
2020-10-07 16:08:10.323,POST,-4,200
2020-10-07 16:08:10.327,POST,-45,200
2020-10-07 16:08:10.372,POST,-2,200
2020-10-07 16:08:10.374,POST,-2,200
2020-10-07 16:08:10.376,POST,-3,200
2020-10-07 16:08:10.379,POST,-20,200
2020-10-07 16:08:10.399,POST,-36,200
2020-10-07 16:08:10.435,POST,-19,200
2020-10-07 16:08:10.454,POST,-4,200
2020-10-07 16:08:10.458,POST,-9,200
2020-10-07 16:08:10.467,POST,-6,200
2020-10-07 16:08:10.473,POST,-15,200
2020-10-07 16:08:10.488,POST,-24,200
2020-10-07 16:08:10.512,POST,-20,200
2020-10-07 16:08:10.532,POST,-4,200
2020-10-07 16:08:10.536,POST,-19,200
2020-10-07 16:08:10.555,POST,-5,200
2020-10-07 16:08:10.56,POST,-14,200
2020-10-07 16:08:10.574,POST,-4,200
2020-10-07 16:08:10.578,POST,-39,200
2020-10-07 16:08:10.617,POST,-4,200
2020-10-07 16:08:10.621,POST,-24,200
2020-10-07 16:08:10.645,POST,-4,200
2020-10-07 16:08:10.649,POST,-20,200
2020-10-07 16:08:10.669,POST,-3,200
2020-10-07 16:08:10.672,POST,-5,200
2020-10-07 16:08:10.677,POST,-27,200
2020-10-07 16:08:10.704,POST,-5,200
2020-10-07 16:08:10.709,POST,-3,200
2020-10-07 16:08:10.712,POST,-26,200
2020-10-07 16:08:10.739,POST,-2,200
2020-10-07 16:08:10.741,POST,-3,200
2020-10-07 16:08:10.744,POST,-3,200
2020-10-07 16:08:10.747,POST,-3,200
2020-10-07 16:08:10.75,POST,-2,200
2020-10-07 16:08:10.752,POST,-3,200
2020-10-07 16:08:10.755,POST,-3,200
2020-10-07 16:08:10.758,POST,-3,200
2020-10-07 16:08:10.761,POST,-2,200
2020-10-07 16:08:10.763,POST,-2,200
2020-10-07 16:08:10.765,GET,-1,200
2020-10-07 16:08:10.766,GET,0,200
2020-10-07 16:08:10.766,GET,-1,200
2020-10-07 16:08:10.767,GET,-1,200
2020-10-07 16:08:10.768,GET,0,200
2020-10-07 16:08:10.768,GET,0,200
2020-10-07 16:08:10.768,GET,0,200
2020-10-07 16:08:10.768,GET,-1,200
2020-10-07 16:08:10.769,GET,0,200
2020-10-07 16:08:10.769,GET,0,200
