StartTime,RequestType,Latency,ResponseCode
2020-10-07 16:07:55.048,POST,-1156,200
2020-10-07 16:07:56.204,POST,-39,200
2020-10-07 16:07:56.243,POST,-47,200
2020-10-07 16:07:56.29,POST,-27,200
2020-10-07 16:07:56.317,POST,-17,200
2020-10-07 16:07:56.344,POST,-23,200
2020-10-07 16:07:56.367,POST,-53,200
2020-10-07 16:07:56.42,POST,-34,200
2020-10-07 16:07:56.454,POST,-37,200
2020-10-07 16:07:56.491,POST,-42,200
2020-10-07 16:07:56.533,POST,-91,200
2020-10-07 16:07:56.629,POST,-5,200
2020-10-07 16:07:56.634,POST,-4,200
2020-10-07 16:07:56.638,POST,-4,200
2020-10-07 16:07:56.642,POST,-4,200
2020-10-07 16:07:56.646,POST,-3,200
2020-10-07 16:07:56.649,POST,-5,200
2020-10-07 16:07:56.654,POST,-67,200
2020-10-07 16:07:56.721,POST,-11,200
2020-10-07 16:07:56.732,POST,-21,200
2020-10-07 16:07:56.753,POST,-11,200
2020-10-07 16:07:56.764,POST,-23,200
2020-10-07 16:07:56.79,POST,-10,200
2020-10-07 16:07:56.8,POST,-14,200
2020-10-07 16:07:56.814,POST,-13,200
2020-10-07 16:07:56.827,POST,-79,200
2020-10-07 16:07:56.906,POST,-13,200
2020-10-07 16:07:56.919,POST,-58,200
2020-10-07 16:07:56.977,POST,-43,200
2020-10-07 16:07:57.025,POST,-13,200
2020-10-07 16:07:57.038,POST,-76,200
2020-10-07 16:07:57.114,POST,-70,200
2020-10-07 16:07:57.184,POST,-25,200
2020-10-07 16:07:57.209,POST,-33,200
2020-10-07 16:07:57.242,POST,-26,200
2020-10-07 16:07:57.268,POST,-22,200
2020-10-07 16:07:57.29,POST,-28,200
2020-10-07 16:07:57.318,POST,-9,200
2020-10-07 16:07:57.327,POST,-129,200
2020-10-07 16:07:57.456,POST,-6,200
2020-10-07 16:07:57.462,POST,-184,200
2020-10-07 16:07:57.646,POST,-6,200
2020-10-07 16:07:57.653,POST,-18,200
2020-10-07 16:07:57.671,POST,-198,200
2020-10-07 16:07:57.869,POST,-14,200
2020-10-07 16:07:57.883,POST,-167,200
2020-10-07 16:07:58.05,POST,-406,200
2020-10-07 16:07:58.456,POST,-5,200
2020-10-07 16:07:58.461,POST,-5,200
2020-10-07 16:07:58.466,POST,-9,200
2020-10-07 16:07:58.475,POST,-6,200
2020-10-07 16:07:58.481,POST,-6,200
2020-10-07 16:07:58.494,POST,-8,200
2020-10-07 16:07:58.502,POST,-9,200
2020-10-07 16:07:58.511,POST,-10,200
2020-10-07 16:07:58.521,POST,-62,200
2020-10-07 16:07:58.583,POST,-4,200
2020-10-07 16:07:58.588,POST,-3,200
2020-10-07 16:07:58.591,POST,-77,200
2020-10-07 16:07:58.668,POST,-3,200
2020-10-07 16:07:58.671,POST,-4,200
2020-10-07 16:07:58.675,POST,-3,200
2020-10-07 16:07:58.678,POST,-69,200
2020-10-07 16:07:58.747,POST,-8,200
2020-10-07 16:07:58.755,POST,-27,200
2020-10-07 16:07:58.782,POST,-10,200
2020-10-07 16:07:58.792,POST,-19,200
2020-10-07 16:07:58.811,POST,-84,200
2020-10-07 16:07:58.895,POST,-267,200
2020-10-07 16:07:59.162,POST,-46,200
2020-10-07 16:07:59.208,POST,-334,200
2020-10-07 16:07:59.542,POST,-572,200
2020-10-07 16:08:00.114,POST,-99,200
2020-10-07 16:08:00.213,POST,-179,200
2020-10-07 16:08:00.392,POST,-33,200
2020-10-07 16:08:00.425,POST,-44,200
2020-10-07 16:08:00.469,POST,-45,200
2020-10-07 16:08:00.514,POST,-31,200
2020-10-07 16:08:00.545,POST,-88,200
2020-10-07 16:08:00.633,POST,-61,200
2020-10-07 16:08:00.694,POST,-796,200
2020-10-07 16:08:01.49,POST,-251,200
2020-10-07 16:08:01.741,POST,-42,200
2020-10-07 16:08:01.786,POST,-20,200
2020-10-07 16:08:01.806,POST,-28,200
2020-10-07 16:08:01.834,POST,-267,200
2020-10-07 16:08:02.101,POST,-67,200
2020-10-07 16:08:02.168,POST,-231,200
2020-10-07 16:08:02.399,POST,-35,200
2020-10-07 16:08:02.434,POST,-186,200
2020-10-07 16:08:02.62,POST,-27,200
2020-10-07 16:08:02.647,POST,-19,200
2020-10-07 16:08:02.666,POST,-18,200
2020-10-07 16:08:02.684,POST,-32,200
2020-10-07 16:08:02.716,POST,-100,200
2020-10-07 16:08:02.816,POST,-47,200
2020-10-07 16:08:02.863,POST,-62,200
2020-10-07 16:08:02.925,POST,-11,200
2020-10-07 16:08:02.936,POST,-28,200
2020-10-07 16:08:02.964,POST,-45,200
2020-10-07 16:08:03.009,GET,-17,200
2020-10-07 16:08:03.026,GET,-64,200
2020-10-07 16:08:03.09,GET,-20,200
2020-10-07 16:08:03.11,GET,-9,200
2020-10-07 16:08:03.119,GET,-10,200
